School Name,Country,Status
Acadia University,CANADA,Eligible
Ambrose University,CANADA,Eligible
Bishop's University,CANADA,Eligible
Brandon University,CANADA,Eligible
Brock University,CANADA,Eligible
Burman University,CANADA,Eligible
Carleton University,CANADA,Eligible
Columbia Bible College,CANADA,Eligible
Concordia University,CANADA,Eligible
Concordia University of Edmonton,CANADA,Eligible
Crandall University,CANADA,Eligible
Dalhousie University,CANADA,Eligible
Holland College,CANADA,Eligible
King's University (The),CANADA,Eligible
Kingswood University,CANADA,Eligible
McGill University,CANADA,Eligible
McMaster University,CANADA,Eligible
Memorial University of Newfoundland,CANADA,Eligible
Mount Allison University,CANADA,Eligible
Mount Saint Vincent University,CANADA,Eligible
Pacific Life Bible College,CANADA,Eligible
Queen's University at Kingston,CANADA,Eligible
Quest University Canada,CANADA,Eligible
Redeemer University,CANADA,Eligible
Regent College,CANADA,Eligible
Ryerson University,CANADA,Eligible
Saint Mary's University,CANADA,Eligible
Saint Paul University,CANADA,Eligible
Salvation Army William and Catherine Booth University,CANADA,Eligible
Simon Fraser University,CANADA,Eligible
St Thomas University,CANADA,Eligible
St. Francis Xavier University,CANADA,Eligible
St. Stephen's University,CANADA,Eligible
Trinity Western University,CANADA,Eligible
Tyndale University,CANADA,Eligible
Universite de Montreal,CANADA,Eligible
University of Alberta (The),CANADA,Eligible
University of British Columbia,CANADA,Eligible
University of Calgary,CANADA,Eligible
University of Guelph,CANADA,Eligible
University of King's College,CANADA,Eligible
University of Manitoba,CANADA,Eligible
University of New Brunswick (The),CANADA,Eligible
University of Northern British Columbia,CANADA,Eligible
University of Ottawa,CANADA,Eligible
University of Prince Edward Island,CANADA,Eligible
University of Toronto,CANADA,Eligible
University of Victoria,CANADA,Eligible
University of Waterloo,CANADA,Eligible
University of Western Ontario (The),CANADA,Eligible
University of Windsor,CANADA,Eligible
University of Winnipeg (The),CANADA,Eligible
Wilfrid Laurier University,CANADA,Eligible
York University,CANADA,Eligible
Anglia  Ruskin University,ENGLAND,Eligible
Arts University Bournemouth,ENGLAND,Eligible
Aston University,ENGLAND,Eligible
Bath Spa University,ENGLAND,Eligible
Birmingham City University,ENGLAND,Eligible
Bournemouth University,ENGLAND,Eligible
Bristol Old Vic Theatre School,ENGLAND,Eligible
Brunel University London,ENGLAND,Eligible
Buckinghamshire New University,ENGLAND,Eligible
"City, University of London",ENGLAND,Eligible
Cliff College,ENGLAND,Eligible
Cranfield University,ENGLAND,Eligible
De Montfort University,ENGLAND,Eligible
Edge Hill University,ENGLAND,Eligible
Falmouth University,ENGLAND,Eligible
Goldsmiths College - University of London,ENGLAND,Eligible
Guildhall School of Music & Drama,ENGLAND,Eligible
Hartpury University,ENGLAND,Eligible
Imperial College London,ENGLAND,Eligible
King's College London,ENGLAND,Eligible
Kingston University,ENGLAND,Eligible
Leeds Arts University,ENGLAND,Eligible
Leeds Beckett University,ENGLAND,Eligible
Liverpool Hope University,ENGLAND,Eligible
Liverpool Institute for Performing Arts (The),ENGLAND,Eligible
Liverpool John Moores University,ENGLAND,Eligible
London Academy of Music & Dramatic Art,ENGLAND,Eligible
London Contemporary Dance School,ENGLAND,Eligible
London Film School,ENGLAND,Eligible
London Metropolitan University,ENGLAND,Eligible
London South Bank University,ENGLAND,Eligible
Loughborough University,ENGLAND,Eligible
Manchester Metropolitan University (The),ENGLAND,Eligible
Middlesex University,ENGLAND,Eligible
National Film & Television School,ENGLAND,Eligible
Nazarene Theological College,ENGLAND,Eligible
Northern School of Contemporary Dance,ENGLAND,Eligible
Norwich University of the Arts,ENGLAND,Eligible
Nottingham Trent University,ENGLAND,Eligible
Oxford Brookes University,ENGLAND,Eligible
Queen Mary University of London,ENGLAND,Eligible
Ravensbourne University London,ENGLAND,Eligible
"Richmond, The American International University in London",ENGLAND,Eligible
Roehampton University,ENGLAND,Eligible
Rose Bruford College of Theatre and Performance,ENGLAND,Eligible
Royal Academy of Music,ENGLAND,Eligible
Royal Central School of Speech and Drama (The),ENGLAND,Eligible
Royal College of Art,ENGLAND,Eligible
Royal College of Music,ENGLAND,Eligible
Royal Northern College of Music,ENGLAND,Eligible
Solent University,ENGLAND,Eligible
St George's Hospital Medical School,ENGLAND,Eligible
"St Mary's University, Twickenham",ENGLAND,Eligible
Staffordshire University,ENGLAND,Eligible
University College Birmingham,ENGLAND,Eligible
University for the Creative Arts,ENGLAND,Eligible
University of Bath,ENGLAND,Eligible
University of Birmingham (The),ENGLAND,Eligible
University of Bradford,ENGLAND,Eligible
University of Brighton,ENGLAND,Eligible
University of Bristol,ENGLAND,Eligible
University of Buckingham,ENGLAND,Eligible
